-20.000	2000000.000
-19.000	3000000.000
-18.000	1566867.250
-17.000	1566867.250
-16.000	1857989.625
-15.000	4000000.000
-14.000	NaN
-13.000	5405405.500
-12.000	4331030.500
-11.000	10000000.000
-10.000	2000000.000
-9.000	2000000.000
-8.000	10000000.000
-7.000	2000000.000
-6.000	4331030.500
-5.000	1857989.625
-4.000	2857142.750
-3.000	1857989.625
-2.000	1857989.625
-1.000	4331030.500
0.000	6666666.500
1.000	2500000.000
2.000	6666666.500
3.000	1857989.625
4.000	2500000.000
5.000	1857989.625
6.000	2000000.000
7.000	1857989.625
8.000	1857989.625
9.000	NaN
10.000	1566867.250
11.000	NaN
12.000	1857989.625
13.000	1857989.625
14.000	NaN
15.000	1857989.625
16.000	NaN
17.000	1857989.625
18.000	NaN
19.000	NaN
20.000	NaN
