-20.000	1980477.250
-19.000	2127659.500
-18.000	1552680.250
-17.000	1675392.625
-16.000	1565495.250
-15.000	1120448.125
-14.000	752688.187
-13.000	1201947.000
-12.000	1007462.687
-11.000	1005586.562
-10.000	1235556.125
-9.000	1011235.937
-8.000	1004464.312
-7.000	1005586.562
-6.000	1005076.125
-5.000	1008403.375
-4.000	1006711.437
-3.000	1006993.000
-2.000	1003717.500
-1.000	1003184.687
0.000	1004884.875
1.000	1007462.687
2.000	1005586.562
3.000	1004962.750
4.000	1004651.187
5.000	1005586.562
6.000	1004464.312
7.000	1006211.187
8.000	1004962.750
9.000	1006097.562
10.000	1005076.125
11.000	1005586.562
12.000	1005586.562
13.000	1005076.125
14.000	1005076.125
15.000	1005586.562
16.000	1004651.187
17.000	1004651.187
18.000	1004464.312
19.000	1004962.750
20.000	1004464.312
